Epoch,Global_Step,Train_Loss,Validation_Loss
1,2130,16.03055763244629,11.427890129809109
2,2130,11.496014595031738,7.624660707869619
3,2130,7.118127346038818,6.6624237816288785
4,2130,6.406750202178955,6.47004895840051
5,2130,6.60435152053833,6.342293631355718
6,2130,6.614820957183838,6.29587332707531
7,2130,5.843089580535889,6.247902564282687
8,2130,6.436290264129639,6.224238143776947
9,2130,5.5609612464904785,6.198475693756679
10,2130,6.9911298751831055,6.196744612927707
